customer_id,disb_date,tenure,account_num,loan_amount,loan_fee
3046ff7b74830e48bfae0323902ddb8c3f194e5c621c3ada393f329de09d6584,1-May-24,30 days,H5LWC1I7YNDUFOOX9S08FQIALVNEHDTF,970,145.5
a84e4e894253e0bd7abb7974fd67afea58f8c5f7717741f6a71ea27b54e37bf8,1-May-24,14 days,FWITL0Q5L03QUW6KWPC7FW890L0XY5AV,70,8.4
eae6afdd5c621537c82382a6297d2e1ef512467137d700677b50c28544546c84,1-May-24,14 days,AKQG3MU7XZ7M59PAV1TVENPN9NZSU1TB,70,8.4
7247c90f337996bb5c1d6122f6fd92c1848517e5c09abbf933e8c204ba8f3d0f,12-May-24,14 days,YFURKX1U98J25P5W17ZIQ23XODP0C37N,320,38.4
28ba13c8b8042ce867960d3ebccb191e4dd27e91df14b5839b25c38ea5dc25af,12-May-24,14 days,UCPG6XILOENLVZ04H7QAK0XMDCMRCQ8Q,3190,382.8
73deecf3dea9e9147b3574c3bb48bd49d7eba5e3db8881ca4ddf4683b5df4bbc,12-May-24,14 days,4GCE0Y488MIRI88THEAJ275LOMLWNKX2,70,8.4
ae52dc6b326105e852d1dd0113f0c689806fe0ffdce4410a3d7bde8aa6a414f9,12-May-24,14 days,CXK5KG85084KQ6X8D47UB0VTEK90A46Y,500,60
5ffb7ecc0ae20eae071f150c2a30073368eba54b8927957085aa4ada54491efb,12-May-24,7 days,CHZA06NNP6SAVKPC66UOCS9VC6A4SWGS,140,14
1703682a6ad76038df5c5d4a9a4a18af944d45640c3f21669fddb06609fb84b9,12-May-24,14 days,KNMLLDMM98MFP8AL61I4T1M8U1OLXPVS,90,10.8
18f8400049d1e7af6233985dc4cd34e33e19386c767ca3c4b5a5808f0ddbaa56,12-May-24,30 days,Z90J6SYIZE3APOBM0SRGOQOBWDV916KZ,2400,360
b2a3e58f8b4b3d84a1b37cfec75b59feed0b73fb72bd7ecd539cfa57dcb5df63,12-May-24,14 days,00E9YB7HJH0LPA1ID3AWW5NL7ET8347R,90,10.8
45d56710353e2ab22e0fe9e8155883cc3a4329010899856ca05e6c1f8c0be4e4,12-May-24,14 days,QFPKF6NNXBXLRAL1B19LE8EITFD0P5LK,140,16.8
7f2b8dea403f8029126c7610ce810797f1762f16bb680715466aab7f1978ae6b,12-May-24,7 days,C85LJKWGS9G9AOEF5N6MV1WVN5BNYWF8,350,35
a6de4f76c3d2324d3f3685233e3f373088213fa91e03ad4613c73b9440142355,12-May-24,14 days,N2JVUEB5IZ4Q4H17WI0UUYNCY29H2Z6S,310,37.2
fa783a0317066fdc8ad89856e68e8d68037c599028b3764f3f0dfec26ecd4f1f,12-May-24,14 days,6DDFV50SCQOZMHQHHJQPD6S6S5ABKCQZ,500,60
9bb98857c69af6fe6725554465ec8393debe772ac5b627ab6125f764c56d54e5,12-May-24,14 days,JHBIXT0P7QHC8KV5NB930SHJSN16OY0R,100,12
98226e140fdb213780ed9dd39fcda227f1b58f8b09df7e10d19179a75017af09,12-May-24,7 days,G8FBL1F6NY19RBM5WAOIMOY9BF620Y3C,100,10
aad69e77a2a44527bbfbb6c3109e169e7c6ee234e6e4bf095bbd17580a63b36e,12-May-24,14 days,X3SPVWJXJ953Y8O3G097CYFPCXXN7PZB,160,19.2
a2b88fd280ed0001060b7538de44283c9ce7af58fb2d6497806f515d7fa2da1d,12-May-24,14 days,YRMNKJG9JUHQU7DEXEF9ARW6FCKYJIEL,200,24
95c0825fd84de8613606bdd1da150bbf3bb81e6408414f83f2c654c183b92ba1,12-May-24,14 days,L2Y1XITZ276INZUEPRHICQYX7I34FAEB,100,12
00065b32dfbc80c249efb220420bd4842c778d29ace6812cd4b00a9235fe286c,12-May-24,30 days,GATEYXV1P2X4HVOBTC9ORN41ZDW2EUG6,3500,525
64d27ccf3dd9f9bbfbaaa587e556e9d7296f145fa280f6627c13b85b762af284,12-May-24,7 days,V3NPMS02P2GNA8Q07ETH79EV6M4B5M2R,110,11
